,jurisdiction,district type,num of districts,max abs difference,mean difference,mean abs difference,standard deviation,abs standard deviation,max blocks per dist,max pop blocks per dist,max pop per dist 2010,mean blocks per dist,mean pop blocks per dist,mean pop per dist 2010,num of blocks,num of pop blocks,pct blocks populated,state,stdev pop per dist 2010,total map pop 2010
0,Apache BOS,County BOS,3,0.1527783840412065,0.006657161077240102,0.10850941710471111,0.11292300532502991,0.0319629367368032,10005.0,2047.0,24393.0,8048.333333333333,1804.3333333333333,23839.333333333332,24145.0,5413.0,22.418720231932078,AZ,661.8017494352486,71518.0
1,Cochise Bisbee,City,3,1.5167930660888407,0.18787910020674667,1.173640326931829,1.2459645316417742,0.4585788409893684,155.0,125.0,1903.0,117.0,81.66666666666667,1858.3333333333333,351.0,245.0,69.8005698005698,AZ,32.62241901242491,5575.0
2,Coconino BOS,County BOS,5,0.16441359152356594,0.011121913425842376,0.11938597615726912,0.12931463458787207,0.050921119133644145,6932.0,1247.0,27792.0,4053.4,866.6,26884.2,20267.0,4333.0,21.379582572655053,AZ,764.5012491814516,134421.0
3,Gila Comm,County Comm,3,0.10362097749122101,-0.009621978685489474,0.07870263034630348,0.08120480163859335,0.022196807418194582,2056.0,674.0,18121.0,1659.6666666666667,587.6666666666666,17865.666666666668,4979.0,1763.0,35.408716609761,AZ,349.84313945284424,53597.0
4,Gila Globe,City,6,3.7337662337662336,0.18140128063459923,1.514719041895052,1.9368290433791442,1.2205897722057886,105.0,66.0,1283.0,76.16666666666667,45.5,1255.3333333333333,457.0,273.0,59.73741794310722,AZ,28.528737947706148,7532.0
5,Navajo BOS,County BOS,5,0.49347415025596086,-0.002724286274011911,0.2607040258629456,0.29727523801040956,0.14287546944350177,7056.0,1606.0,22090.0,4160.8,1230.8,21489.8,20804.0,6154.0,29.58084983656989,AZ,558.5246279261104,107449.0
6,Hanford Elem,S.D.,5,0.6424706943192064,0.08941440290311391,0.5080732767911198,0.5183458506630518,0.1361576356906119,316.0,177.0,8936.0,240.2,135.2,8897.4,1201.0,676.0,56.28642797668609,CA,23.01825362619849,44487.0
7,Riverdale S.D.,S.D.,7,4.102096627164995,1.1087322518456015,2.486602444939956,2.38354587272753,0.8528695178617262,186.0,50.0,1155.0,93.85714285714286,36.714285714285715,1123.5714285714287,657.0,257.0,39.117199391171994,CA,18.093859596615665,7865.0
8,Weaver S.D. (Merced County),S.D.,5,1.460920379839299,-0.8774092867879777,0.8774092867879777,0.5291438587343618,0.5291438587343618,164.0,76.0,3502.0,59.0,33.2,2895.0,295.0,166.0,56.271186440677965,CA,303.7314603395572,14475.0
9,Collier S.D.,S.D.,1,0.00031102264244837026,-0.00031102264244837026,0.00031102264244837026,0.0,0.0,6479.0,3381.0,321520.0,6479.0,3381.0,321520.0,6479.0,3381.0,52.18397900910634,FL,0.0,321520.0
10,Hendry Comm,County Comm,5,1.2302512302512303,-0.026750680802644665,0.927015103960667,0.9703719367548521,0.2880629993483401,820.0,397.0,8063.0,513.4,234.0,7828.0,2567.0,1170.0,45.57849629918193,FL,302.9131888842082,39140.0
11,Charles Mix Comm,County Comm,3,1.185770750988142,0.10684242177509418,0.897356255767189,0.9378451354145737,0.2927807222940721,712.0,379.0,3068.0,545.0,298.0,3043.0,1635.0,894.0,54.67889908256881,SD,18.239152027072603,9129.0
12,Shannon Comm,County Comm,5,1.2987012987012987,0.07059647273532843,0.6351304650833,0.7975091107174602,0.4874565990558494,634.0,129.0,2805.0,315.6,103.4,2717.2,1578.0,517.0,32.762991128010135,SD,70.93489973207829,13586.0
13,Todd Comm,County Comm,5,0.8881922675026124,-0.055030815132949884,0.47416717985451884,0.5791076728013506,0.33698601285573476,326.0,129.0,2016.0,177.8,85.2,1922.4,889.0,426.0,47.91901012373454,SD,52.18658831539,9612.0
14,Corpus Christi,City,5,0.2857677456667063,-0.029715273796908137,0.17760330854076684,0.1895238566434728,0.07252140738577835,1825.0,914.0,63218.0,1160.0,744.4,60884.6,5800.0,3722.0,64.17241379310344,TX,1566.8728857185574,304423.0
