,jurisdiction,district type,num of districts,num of blocks,mean blocks per dist,max blocks per dist,num of pop blocks,pct blocks populated,mean pop blocks per dist,max pop blocks per dist,max abs difference,mean abs difference,mean difference,abs standard deviation,standard deviation,total map pop 2010,mean pop per dist 2010,max pop per dist 2010,stdev pop per dist 2010
0,AZ Apache BOS,County BOS,3,24145,8048.333333333333,10005,5413,22.418720231932078,1804.3333333333333,2047,0.1527783840412065,0.10850941710471111,0.006657161077240102,0.0319629367368032,0.11292300532502991,71518,23839.333333333332,24393,661.8017494352486
1,AZ Cochise Bisbee,City,3,351,117.0,155,245,69.8005698005698,81.66666666666667,125,1.5167930660888407,1.173640326931829,0.18787910020674667,0.4585788409893684,1.2459645316417742,5575,1858.3333333333333,1903,32.62241901242491
2,AZ Coconino BOS,County BOS,5,20267,4053.4,6932,4333,21.379582572655053,866.6,1247,0.16441359152356594,0.11938597615726912,0.011121913425842376,0.050921119133644145,0.12931463458787207,134421,26884.2,27792,764.5012491814516
3,AZ Gila Comm,County Comm,3,4979,1659.6666666666667,2056,1763,35.408716609761,587.6666666666666,674,0.10362097749122101,0.07870263034630348,-0.009621978685489474,0.022196807418194582,0.08120480163859335,53597,17865.666666666668,18121,349.84313945284424
4,AZ Gila Globe,City,6,457,76.16666666666667,105,273,59.73741794310722,45.5,66,3.7337662337662336,1.514719041895052,0.18140128063459923,1.2205897722057886,1.9368290433791442,7532,1255.3333333333333,1283,28.528737947706148
5,AZ Navajo BOS,County BOS,5,20804,4160.8,7056,6154,29.58084983656989,1230.8,1606,0.49347415025596086,0.2607040258629456,-0.002724286274011911,0.14287546944350177,0.29727523801040956,107449,21489.8,22090,558.5246279261104
6,CA Hanford Elem,S.D.,5,1201,240.2,316,676,56.28642797668609,135.2,177,0.6424706943192064,0.5080732767911198,0.08941440290311391,0.1361576356906119,0.5183458506630518,44487,8897.4,8936,23.01825362619849
7,CA Riverdale S.D.,S.D.,7,657,93.85714285714286,186,257,39.117199391171994,36.714285714285715,50,4.102096627164995,2.486602444939956,1.1087322518456015,0.8528695178617262,2.38354587272753,7865,1123.5714285714287,1155,18.093859596615665
8,CA Weaver S.D. (Merced County),S.D.,5,295,59.0,164,166,56.271186440677965,33.2,76,1.460920379839299,0.8774092867879777,-0.8774092867879777,0.5291438587343618,0.5291438587343618,14475,2895.0,3502,303.7314603395572
9,FL Hendry Comm,County Comm,5,2567,513.4,820,1170,45.57849629918193,234.0,397,1.2302512302512303,0.927015103960667,-0.026750680802644665,0.2880629993483401,0.9703719367548521,39140,7828.0,8063,302.9131888842082
10,SD Charles Mix Comm,County Comm,3,1635,545.0,712,894,54.67889908256881,298.0,379,1.185770750988142,0.897356255767189,0.10684242177509418,0.2927807222940721,0.9378451354145737,9129,3043.0,3068,18.239152027072603
11,SD Shannon Comm,County Comm,5,1578,315.6,634,517,32.762991128010135,103.4,129,1.2987012987012987,0.6351304650833,0.07059647273532843,0.4874565990558494,0.7975091107174602,13586,2717.2,2805,70.93489973207829
12,SD Todd Comm,County Comm,5,889,177.8,326,426,47.91901012373454,85.2,129,0.8881922675026124,0.47416717985451884,-0.055030815132949884,0.33698601285573476,0.5791076728013506,9612,1922.4,2016,52.18658831539
